Name,Type,Calories,Protein,Carbs,Fats,Tags,Allergens,Swap_Group
Sweet lemon pickle (Neembu ka meetha achaar),Breakfast,104,1.8,25.3,0.3,Veg,None,Veg_Breakfast
Sweet lemon pickle (Neembu ka meetha achaar),Snack,104,1.8,25.3,0.3,Veg,None,Veg_Snack
Plum chutney (Aloo bukhara ki chutney),Lunch,442,1.2,112.4,0.7,Veg,None,Veg_Lunch
Plum chutney (Aloo bukhara ki chutney),Dinner,442,1.2,112.4,0.7,Veg,None,Veg_Dinner
Raw mango chutney (Kachhe aam/Kairi ki chutney),Lunch,482,1.3,124.8,0.4,Veg,None,Veg_Lunch
Raw mango chutney (Kachhe aam/Kairi ki chutney),Dinner,482,1.3,124.8,0.4,Veg,None,Veg_Dinner
Tomato sauce,Breakfast,102,2.4,21.7,0.8,Veg,None,Veg_Breakfast
Tomato sauce,Snack,102,2.4,21.7,0.8,Veg,None,Veg_Snack
Tomato puree,Breakfast,61,2.2,11.0,0.8,Veg,None,Veg_Breakfast
Tomato puree,Snack,61,2.2,11.0,0.8,Veg,None,Veg_Snack
Garam masala,Lunch,635,24.7,65.5,27.4,Veg,None,Veg_Lunch
Garam masala,Dinner,635,24.7,65.5,27.4,Veg,None,Veg_Dinner
Chat masala,Lunch,556,20.5,59.7,24.8,Veg,None,Veg_Lunch
Chat masala,Dinner,556,20.5,59.7,24.8,Veg,None,Veg_Dinner
Kashmiri masala,Lunch,972,20.6,57.9,77.6,Veg,None,Veg_Lunch
Kashmiri masala,Dinner,972,20.6,57.9,77.6,Veg,None,Veg_Dinner
Rasam powder (Rasam masala),Lunch,669,30.1,63.0,29.5,Veg,None,Veg_Lunch
Rasam powder (Rasam masala),Dinner,669,30.1,63.0,29.5,Veg,None,Veg_Dinner
Sambar powder (Sambar masala),Lunch,743,31.2,58.4,39.0,Veg,None,Veg_Lunch
Sambar powder (Sambar masala),Dinner,743,31.2,58.4,39.0,Veg,None,Veg_Dinner
